pccode;pccode2010;pcname;province;province_id;districtid;nvoters;totalps_av;frnum_v600;frnum_p95;frnum_ecc;frnum_disq;frnum_comb;frnum_own;total_karzai;total_abd;total_others;total_v600;total_p95;total_ecc;total_disq;total_comb;total_own;totalv_pc;totalps;female;kuchi;femaleps;kuchips;response;herfind;pc_categ;iec_province;iec_district;iec_pcname;iec_mgrsgrid;iec_secure;iec_access;syn_mgrsgrid;syn_latitude;syn_longitude;geoimpute;lat;lon;cov;dist;segment50;dist50;segment100;dist100;conflict;elevation;slope;pc_vill_dist;vill_id;center;center_code;population;language;lang_code;region;region2;dist_prim_rd;dist_sec_rd;dist_tr_rd;dist_health_b;dist_health_d;dist_river_p;dist_river_sec;dist_river_s;lang_code2;access;center2;share_600;share_95;share_ecc;share_disq;share_comb;share_own;vote_600;vote_95;vote_ecc;vote_disq;vote_comb;vote_own;vote_comb_ind;ind_seg50;ind_seg100;prov_34_na;dist_34_na;distid;roshan_only;cov_all;dist_all;roshan_win_20km;roshan_win_10km;roshan_win_15km;roshan_win_5km;cov_pc;dist2;dist3;dist4;lat2;lon2;lat3;lon3;lat4;lon4;distance;measurement_error;_dist
1201004;1201004;Public Health Hospital, Village guestroom, Mehtarlam;Laghman;12;701;4219;8;0;0;0;0;0;0;692;69;158;0;0;0;0;0;0;919;8;3;0;.375;0;.21782413;.57831353;Other;Laghman;PROVINCIAL CENTER (MEHTERLAM);Public Health Hospital, Village guestroom, Mehtarlam;42SXD1030937312;Secure;Other;42SXD1030937312;34.671841;70.204025;Original;34.671841;70.204025;1;10.382388;851;21425.473;393;21442.24;0;767;2.3523068;701.92798;MTM-115;NA;0;1514;Pashto;2;RC-East;East;17955.051;733.42188;169.8373;948.16614;948.16614;2960.3201;776.37689;31275.252;Pashto;Other;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;Laghman;Mihtarlam;901;0;1;15889.459354;0;0;0;0;.90072;107.79398;1119.1589;11619.543;1202.1365;4928.605;41680.285;346007.91;1445132.3;24291148;10.382388;.31972963;10.702118
1201003;1201003;Shahre naw first Experimental School, TB Clinic, Mehtarlam;Laghman;12;701;3791;7;0;0;0;0;0;0;1047;49;201;0;0;0;0;0;0;1297;7;2;0;.2857143;0;.3421261;.65861917;Other;Laghman;PROVINCIAL CENTER (MEHTERLAM);Shahre naw first Experimental School, TB Clinic, Mehtarlam;42SXD1101137568;Secure;Other;42SXD1101137568;34.674072;70.211723;Original;34.674072;70.211723;1;10.588264;813;21249.139;393;22100.678;0;785;2.7740605;455.58163;MTM-007;NA;0;0;Pashto;2;RC-East;East;18278.293;981.96478;170.33746;1209.9552;1209.9552;2383.658;279.20209;31893.268;Pashto;Other;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Laghman;Mihtarlam;901;0;1;15201.869674;0;0;0;0;.90072;112.11134;1187.0646;12568.953;1202.2913;4929.686;41688.336;346121.75;1445504.4;24301804;10.588264;-1.2437394;9.3445253
1201011;1201011;Kachoor School, Village guestroom, Mehtarlam;Laghman;12;701;2110;4;0;0;0;0;0;0;337;27;29;0;0;0;0;0;0;393;4;2;0;.5;0;.18625592;.74080783;School;Laghman;PROVINCIAL CENTER (MEHTERLAM);Kachoor School, Village guestroom, Mehtarlam;42SXD1471338702;Secure;Other;42SXD1471338702;34.683891;70.252274;Original;34.683891;70.252274;1;11.618133;789;19462.172;423;21857.002;0;777;2.6977651;380.20721;MTM-101;NA;0;841;Dari;1;RC-East;East;20169.676;4559.8682;222.87965;4683.1333;4683.1333;644.36249;2104.4651;31360.953;Dari;Other;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Laghman;Mihtarlam;901;0;1;11618.133131;0;0;0;0;.90072;134.981;1568.2272;18219.871;1202.9723;4935.3818;41723.762;346721.81;1447142.4;24357994;11.618133;-1.291945;10.326187
1201009;1201009;Shamangul Mosque, Village guestroom, Mehtarlam;Laghman;12;701;2548;5;0;0;0;0;0;0;274;28;30;0;0;0;0;0;0;332;5;2;0;.40000001;0;.13029827;.68961376;Mosque;Laghman;PROVINCIAL CENTER (MEHTERLAM);Shamangul Mosque, Village guestroom, Mehtarlam;42SXD1357333138;Secure;Other;42SXD1357333138;34.633854;70.239082;Original;34.633854;70.239082;1;12.803433;745;19697.146;374;22120.979;0;712;3.7494609;259.47156;MTM-041;NA;0;0;Pashto;2;RC-East;East;14520.421;2407.3003;463.60428;4404.436;4404.436;240.388;946.08234;30274.357;Pashto;Other;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Laghman;Mihtarlam;901;0;1;12803.433925;0;0;0;0;.90072;163.9279;2098.8401;26872.359;1199.5038;4933.5288;41543.441;346526.53;1438809.5;24339706;12.803433;.91962135;13.723055
1201007;1201007;Chardehi School, Mehtarlam;Laghman;12;701;1981;4;0;0;0;0;0;0;455;92;118;0;0;0;0;0;0;665;4;2;0;.5;0;.33568904;.49474594;School;Laghman;PROVINCIAL CENTER (MEHTERLAM);Chardehi School, Mehtarlam;42SXD1145732069;Secure;Other;42SXD1145732069;34.624447;70.215866;Original;34.624447;70.215866;1;15.072717;745;21456.809;393;23819.426;0;709;3.7731299;365.85956;MTM-160;NA;0;425;Pashto;2;RC-East;East;12930.852;202.87276;1543.1619;4422.9087;4422.9087;1962.8293;274.08917;28020.688;Pashto;Other;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Laghman;Mihtarlam;901;0;1;15072.717275;0;0;0;0;.90072;227.18678;3424.322;51613.836;1198.8523;4930.2681;41509.598;346183.03;1437246.9;24307542;15.072717;.40632012;15.479037
1201005;1201005;Gameen village Mosque and School, Mehtarlam;Laghman;12;701;4849;9;0;0;0;0;0;0;810;39;98;0;0;0;0;0;0;947;9;4;0;.44444445;0;.195298;.73603964;Mosque;Laghman;PROVINCIAL CENTER (MEHTERLAM);Gameen village Mosque and School, Mehtarlam;42SXD1155236133;Secure;Other;42SXD1155236133;34.661079;70.217438;Original;34.661079;70.217438;1;12.065659;789;22433.691;393;22857.197;0;739;1.7447778;317.21872;MTM-167;NA;0;4516;Dari;1;RC-East;East;16936.242;1059.1659;790.39093;976.11975;976.11975;1432.048;275.45142;31105.75;Dari;Other;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Laghman;Mihtarlam;901;0;1;14655.862332;0;0;0;0;.90072;145.58012;1756.52;21193.57;1201.3904;4930.4888;41641.488;346206.28;1443339;24309718;12.065659;-.12220848;11.94345
1201030;1201030;Arsalah qala, Mehtarlam;Laghman;12;701;2400;4;0;0;0;0;0;0;466;9;26;0;0;0;0;0;0;501;4;2;0;.5;0;.20874999;.86613601;Other;Laghman;PROVINCIAL CENTER (MEHTERLAM);Arsalah qala, Mehtarlam;42SXD0773735442;Unsecure;Not accessible;42SXD0773735442;34.655254;70.17572;Original;34.655254;70.17572;1;10.959561;826;21542.326;393;19265.457;0;789;2.7504547;105.96595;MTM-205;NA;0;633;Pashto;2;RC-East;East;16050.506;1636.1819;2850.8657;3051.3787;3051.3787;3839.7886;84.713264;28256.324;Pashto;Limited;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Laghman;Mihtarlam;901;0;1;16338.641124;0;0;0;0;.90072;120.11198;1316.3746;14426.889;1200.9867;4924.6318;41620.496;345589.56;1442369;24251998;10.959561;-.28266028;10.676901
1202036;1202036;Nahre Kareem School and village guestroom, Qarghayee;Laghman;12;702;3242;6;0;1;0;0;0;0;500;243;73;0;106;0;0;0;0;816;6;3;0;.5;0;.2516965;.46771973;School;Laghman;QARGHAI;Nahre Kareem School and village guestroom, Qarghayee;42SXD2180221785;Secure;Other;42SXD2180221785;34.530556;70.327217;Original;34.530556;70.327217;1;10.04354;745;11874.263;374;15929.921;0;656;1.1096969;610.45703;QGI-144;NA;0;444;Pashai;6;RC-East;East;4324.4668;10634.433;876.51935;6650.1611;16335.839;4192.1763;74.759415;31538.227;Other;Other;No capital;0;.16666667;0;0;0;0;0;.12990196;0;0;0;0;0;0;0;Laghman;Qarghayi;902;0;1;12083.09328;0;0;0;0;.97486;100.8727;1013.119;10175.301;1192.3593;4945.9175;41172.828;347832.63;1421720.6;24462100;10.04354;-.42093527;9.6226044
1202046;1202046;Sarkandobaba Hotel and Malak Durani Guestroom, Qarghayee,;Laghman;12;702;1216;3;0;2;0;0;0;0;760;6;33;0;521;0;0;0;0;799;3;1;0;.33333334;0;.65707237;.9050439;Other;Laghman;QARGHAI;Sarkandobaba Hotel and Malak Durani Guestroom, Qarghayee,;42SWD9095818504;Secure;Other;42SWD9095818504;34.504158;69.990822;Original;34.504158;69.990822;1;5.7962394;790;10528.285;346;12634.179;0;756;5.0992246;1923.14;QGI-135;NA;0;696;Pashto;2;RC-East;East;687.42059;20070.158;7319.2607;6376.5015;26606.102;6730.4375;1355.9922;6433.9028;Pashto;Other;No capital;0;.66666669;0;0;0;0;0;.6520651;0;0;0;0;0;0;1;Laghman;Qarghayi;902;0;1;7294.33371;0;0;0;0;.97486;33.59639;194.73273;1128.7175;1190.5369;4898.7153;41078.473;342865.09;1417378.1;23997410;5.7962394;2.4725857;8.2688255
1202047;1202047;Kamalpoor Big mosque and School, Qarghayee;Laghman;12;702;1645;3;0;0;0;0;0;0;730;37;51;0;0;0;0;0;0;818;3;1;0;.33333334;0;.49726444;.79945719;Mosque;Laghman;QARGHAI;Kamalpoor Big mosque and School, Qarghayee;42SXD1456921138;Secure;Other;42SXD1456921138;34.525551;70.248329;Original;34.525551;70.248329;1;17.054417;745;18793.305;374;22680.012;0;631;.67395473;528.3429;QGI-053;NA;0;514;Pashto;2;RC-East;East;3300.7085;3523.4561;292.23395;2929.5774;15769.929;2675.2654;213.97409;24516.156;Pashto;Other;No capital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Laghman;Qarghayi;902;0;1;18162.743825;0;0;0;0;.97486;290.85312;4960.3306;84595.539;1192.0137;4934.8276;41154.93;346663.41;1420896.6;24352524;17.054417;1.3456606;18.400078
